branch_thickness	2
clade_marker_edge_width	1
clade_marker_size	15
6. Sigmoid colon / rectum	clade_marker_color	#000080
6. Sigmoid colon / rectum	clade_marker_size	35
4. Transverse colon	clade_marker_color	r
4. Transverse colon	clade_marker_size	35
2. Cecum	clade_marker_color	#9400d3
2. Cecum	clade_marker_size	35
1. Terminal ileum	clade_marker_color	#008000
1. Terminal ileum	clade_marker_size	35
3. Right colon	clade_marker_color	#d2691e
3. Right colon	clade_marker_size	35
5. Left colon	clade_marker_color	#20b2aa
5. Left colon	clade_marker_size	35
annotation_legend_font_size	11
class_legend_marker_size	2
class_legend_font_size	13
internal_label	1	Ph.
internal_label	2	Classes
internal_label	3	Orders
internal_label	4	Families
internal_label	5	Genera
total_plotted_degrees	330
start_rotation	270
branch_bracket_width	0.5
branch_bracket_depth	0.75
internal_labels_rotation	270
Firmicutes.Clostridia.Clostridiales.Ruminococcaceae	annotation_background_color	#000080
Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Faecalibacterium	annotation_background_color	#9400d3
Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.unclassified	annotation_background_color	#20b2aa
Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Roseburia	annotation_background_color	#000080
Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Oscillibacter	annotation_background_color	#000080
Bacteroidetes.Bacteroidia.Bacteroidales.Rikenellaceae.Alistipes	annotation_background_color	#20b2aa
Bacteroidetes.Bacteroidia.Bacteroidales.Rikenellaceae	annotation_background_color	#20b2aa
Proteobacteria.Gammaproteobacteria.Enterobacteriales	annotation_background_color	#008000
Proteobacteria.Gammaproteobacteria.Enterobacteriales.Enterobacteriaceae	annotation_background_color	#008000
Fusobacteria.Fusobacteria.Fusobacteriales.Fusobacteriaceae	annotation_background_color	#d2691e
Fusobacteria.Fusobacteria.Fusobacteriales	annotation_background_color	#d2691e
Fusobacteria.Fusobacteria	annotation_background_color	#d2691e
Fusobacteria	annotation_background_color	#d2691e
Fusobacteria.Fusobacteria.Fusobacteriales.Fusobacteriaceae.Fusobacterium	annotation_background_color	#d2691e
Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Ruminococcus	annotation_background_color	#000080
Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Subdoligranulum	annotation_background_color	#000080
Actinobacteria.Actinobacteria.Coriobacteriales.Coriobacteriaceae	annotation_background_color	r
Actinobacteria.Actinobacteria.Coriobacteriales	annotation_background_color	r
Firmicutes.Clostridia.Clostridiales	annotation_background_color	#000080
Firmicutes.Clostridia	annotation_background_color	#000080
Proteobacteria.Gammaproteobacteria.Enterobacteriales.Enterobacteriaceae.unclassified	annotation_background_color	#008000
Actinobacteria.Actinobacteria.Actinomycetales.Actinomycetaceae.Actinomyces	annotation_background_color	#9400d3
Actinobacteria.Actinobacteria.Actinomycetales.Actinomycetaceae	annotation_background_color	#9400d3
Proteobacteria	annotation_background_color	#008000
Actinobacteria.Actinobacteria.Coriobacteriales.Coriobacteriaceae.Collinsella	annotation_background_color	r
Proteobacteria.Gammaproteobacteria.Enterobacteriales.Enterobacteriaceae.Cronobacter	annotation_background_color	#9400d3
Firmicutes.Erysipelotrichi.Erysipelotrichales.Erysipelotrichaceae.unclassified	annotation_background_color	r
